----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Sun Jun  2 09:48:10 2024
----------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 4588, 'name': 'IntelAudioService.exe', 'username': None} 
{'pid': 4596, 'name': 'svchost.exe', 'username': None} 
{'pid': 4604, 'name': 'GameSDK.exe', 'username': None} 
{'pid': 4608, 'name': 'AnyDesk.exe', 'username': None} 
{'pid': 4632, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 4660, 'name': 'esif_uf.exe', 'username': None} 
{'pid': 4740, 'name': 'AsusSystemAnalysis.exe', 'username': None} 
{'pid': 4768, 'name': 'CptHost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 4840, 'name': 'svchost.exe', 'username': None} 
{'pid': 4876, 'name': 'svchost.exe', 'username': None} 
{'pid': 4904, 'name': 'LightingService.exe', 'username': None} 
{'pid': 4932, 'name': 'servicehost.exe', 'username': None} 
{'pid': 4956, 'name': 'mongod.exe', 'username': None} 
{'pid': 4988, 'name': 'mc-fw-host.exe', 'username': None} 
{'pid': 5004, 'name': 'ROGLiveService.exe', 'username': None} 
{'pid': 5012, 'name': 'RtkAudUService64.exe', 'username': None} 
{'pid': 5040, 'name': 'RstMwService.exe', 'username': None} 
{'pid': 5056, 'name': 'TbtP2pShortcutService.exe', 'username': None} 
{'pid': 5064, 'name': 'svchost.exe', 'username': None} 
{'pid': 5072, 'name': 'svchost.exe', 'username': None} 
{'pid': 5080, 'name': 'svchost.exe', 'username': None} 
{'pid': 5088, 'name': 'WMIRegistrationService.exe', 'username': None} 
{'pid': 5132, 'name': 'svchost.exe', 'username': None} 
{'pid': 5444, 'name': 'jhi_service.exe', 'username': None} 
{'pid': 5484, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 5712, 'name': 'svchost.exe', 'username': None} 
{'pid': 5756, 'name': 'SearchHost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 5852, 'name': 'cmd.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 5856, 'name': 'dasHost.exe', 'username': None} 
{'pid': 6096, 'name': 'svchost.exe', 'username': None} 
{'pid': 6488, 'name': 'msedgewebview2.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 6516, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 6836, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 6940, 'name': 'SystemSettings.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 7240, 'name': 'RuntimeBroker.exe', 'username': 'MAHESH\\mahes'} 
